,time,ta,hr,pr,rs,vv,vn,ve
2020-01-01 00:00:00,2020-01-01 00:00:00,7.76667,96.1667,977.633,0.0,5.53333,-4.48599,-3.21365
2020-01-01 01:00:00,2020-01-01 01:00:00,7.35,97.5,977.05,0.0,5.88333,-2.41991,-5.24265
2020-01-01 02:00:00,2020-01-01 02:00:00,8.11667,77.1667,976.65,0.0,7.38333,1.1587,-7.22844
2020-01-01 03:00:00,2020-01-01 03:00:00,8.15,69.1667,976.583,0.0,11.1333,2.9301,-10.6889
2020-01-01 04:00:00,2020-01-01 04:00:00,7.91667,63.5,976.767,0.0,6.33333,-1.05663,-6.07475
2020-01-01 05:00:00,2020-01-01 05:00:00,7.35,68.5,976.633,0.0,6.75,-0.584663,-6.67449
2020-01-01 06:00:00,2020-01-01 06:00:00,7.01667,69.1667,976.617,0.0,7.15,-1.20107,-6.92616
2020-01-01 07:00:00,2020-01-01 07:00:00,7.0,69.1667,976.833,0.0,6.01667,-0.27281,-5.98185
2020-01-01 08:00:00,2020-01-01 08:00:00,8.08333,57.1667,976.883,0.0,10.4333,1.7642,-10.2413
2020-01-01 09:00:00,2020-01-01 09:00:00,8.6,52.1667,976.933,53.5,8.9,-0.502241,-8.7855
2020-01-01 10:00:00,2020-01-01 10:00:00,8.56667,55.0,977.433,195.5,5.51667,-1.90528,-5.13037
2020-01-01 11:00:00,2020-01-01 11:00:00,9.03333,53.1667,977.85,333.333,6.68333,-2.69078,-6.06642
2020-01-01 12:00:00,2020-01-01 12:00:00,10.35,50.3333,977.567,419.5,4.48333,-0.770279,-4.27261
2020-01-01 13:00:00,2020-01-01 13:00:00,11.3333,57.8333,976.867,451.667,3.53333,2.77034,-2.12507
2020-01-01 14:00:00,2020-01-01 14:00:00,11.5833,66.8333,976.35,430.333,2.83333,2.62435,-1.03104
2020-01-01 15:00:00,2020-01-01 15:00:00,11.7,71.3333,976.2,340.167,1.96667,1.32559,0.806868
2020-01-01 16:00:00,2020-01-01 16:00:00,10.4833,78.8333,976.317,212.0,1.7,1.24204,0.593017
2020-01-01 17:00:00,2020-01-01 17:00:00,9.66667,81.1667,976.183,73.5,2.76667,1.67266,-1.9729
2020-01-01 18:00:00,2020-01-01 18:00:00,9.08333,71.3333,976.15,1.5,4.36667,0.887432,-4.22641
2020-01-01 19:00:00,2020-01-01 19:00:00,8.9,68.8333,976.233,0.0,5.73333,1.79684,-5.33427
2020-01-01 20:00:00,2020-01-01 20:00:00,8.48333,72.8333,976.0,0.0,9.38333,2.8889,-8.90949
2020-01-01 21:00:00,2020-01-01 21:00:00,8.18333,73.8333,975.85,0.0,11.5167,3.92698,-10.7334
